project_name,project_id,role,exact_version,minecraft_version,loader,environment,release_type,release_date,last_meaningful_update,maintenance_signals,source_available,license,redistribution_rules,required_dependencies,configuration_quality,documented_api,multiplayer_support,dedicated_server_support,performance_risk,save_persistence,removal_consequence,worldgen_impact,matcha_overlap,overlap_with_other_candidates,known_conflicts,documentation_quality,guidebook_or_advancement_noise,custom_patch_likely,decision,confidence,rationale,authoritative_sources
Sound Physics Remastered,qyVF9oeo,lifestyle,fabric-1.5.1+26.2 [d8iioMMp],26.2,fabric,client_only_server_optional,beta,2026-06-18T06:31:54.338735Z,2026-06-25,Modrinth metadata updated 2026-06-18; latest source commit 2026-06-25: Update ModMenu and ClothConfig; recent issue records observed.,yes (public source link),GPL-3.0-only,Redistribution is permitted under GPL-3.0-only with notices and corresponding-source obligations as applicable.,Mod Menu (optional); Simple Voice Chat (optional); Cloth Config API (optional),clear,no,client with optional server support,optional,medium,client configuration only,low,none,none identified,"Presence Footsteps, Particular Reforged","Beta release; optional Simple Voice Chat, Cloth Config and Mod Menu integrations need version checks",good,none,no,PILOT,HIGH,"Sound Physics Remastered has a 26.2 beta and active source issue handling. It is a contained client ambience candidate, but audio performance and overlap with Presence Footsteps need an assembled client test.",https://api.modrinth.com/v2/project/qyVF9oeo;https://api.modrinth.com/v2/project/qyVF9oeo/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/henkelmax/sound-physics-remastered;https://github.com/henkelmax/sound-physics-remastered;https://api.github.com/repos/henkelmax/sound-physics-remastered;https://api.github.com/repos/henkelmax/sound-physics-remastered/commits?per_page=10;https://api.github.com/repos/henkelmax/sound-physics-remastered/issues?state=all&per_page=5
Global Packs,NRLPy2mk,pack loading,26.2.0 [DqrPrUMp],26.2,fabric,client_or_server_prefers_both,release,2026-06-16T21:12:22.600814Z,2026-06-21,Modrinth metadata updated 2026-06-21; linked source repository returned HTTP 404; issue endpoint HTTP 404.,no (linked source URL returned HTTP 404),LicenseRef-All-Rights-Reserved (All rights reserved),All rights reserved; private development is not a redistribution grant. Obtain permission or replace before release.,None declared in selected version record,"clear, global_packs.toml",no,client and server,yes,low,global pack selection and any loaded pack content,high,depends on loaded packs,direct loader boundary for the Matcha archive,"Paxi, Open Loader, Simple Resource Loader, Packwiz",All-Rights-Reserved; linked GitHub source returned 404; verify one unmodified Matcha archive loads as both data and resource input,good,depends on loaded packs,likely,ADOPT_BASELINE,HIGH,Global Packs is the locked ADR 0027 choice among the named loaders because it has a real 26.2 Fabric release and documents global data/resource loading and TOML ordering. Its All-Rights-Reserved licence and currently unavailable linked source remain release gates.,https://api.modrinth.com/v2/project/NRLPy2mk;https://api.modrinth.com/v2/project/NRLPy2mk/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/DarkRoleplay/Global-Data-and-Resourcepacks;https://github.com/DarkRoleplay/Global-Data-and-Resourcepacks;https://api.github.com/repos/DarkRoleplay/Global-Data-and-Resourcepacks;https://api.github.com/repos/DarkRoleplay/Global-Data-and-Resourcepacks/commits?per_page=10;https://api.github.com/repos/DarkRoleplay/Global-Data-and-Resourcepacks/issues?state=all&per_page=5
Open Loader,KwWsINvD,pack loading,No 26.2 Fabric release. Newest observed: 19.0.5 [UFqjauYD],1.20.1,fabric,client_and_server,release,2026-02-12T07:34:04.718097Z,2024-03-11,Modrinth metadata updated 2026-02-12; latest source commit 2024-03-11: Fix build errors.; recent issue records observed.,yes (public source link),LGPL-2.1-only,Redistribution is permitted under LGPL-2.1-only with notices and applicable source/relinking obligations.,Fabric API,clear,no,client and server,yes,low,global pack selection and any loaded pack content,high,depends on loaded packs,direct loader boundary,"Global Packs, Paxi, Simple Resource Loader",No 26.2 Fabric release observed; source latest meaningful commit was 2024-03-11,good,depends on loaded packs,possible,DEFER,HIGH,"Open Loader remains a clear global data/resource loader, but the newest observed Fabric release is 1.20.1 and the source issue tracker contains an open 26.2 port request. No 26.2 Fabric release was observed, so the newest compatible record is shown without substitution.",https://api.modrinth.com/v2/project/KwWsINvD;https://api.modrinth.com/v2/project/KwWsINvD/version?loaders=%5B%22fabric%22%5D;https://github.com/Darkhax-Minecraft/Open-Loader;https://github.com/Darkhax-Minecraft/Open-Loader;https://api.github.com/repos/Darkhax-Minecraft/Open-Loader;https://api.github.com/repos/Darkhax-Minecraft/Open-Loader/commits?per_page=10;https://api.github.com/repos/Darkhax-Minecraft/Open-Loader/issues?state=all&per_page=5
Packwiz,N/A (GitHub tool),pack loading,No tagged GitHub release; source/CI artifact or go install @latest only,not applicable,tooling,pack authoring,no tagged release,unknown,2026-02-18,"Official repository metadata reports active issue handling, MIT licence and latest repository push 2026-02-18; repository metadata was updated 2026-08-27; no tagged releases returned.",yes (public GitHub repository),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Go 1.24+ for source installation; tool revision or trusted CI artifact must be pinned separately,documented TOML,partial,"not applicable, authoring tool","not applicable, authoring tool",low,"pack metadata only, downstream impact depends on inputs",medium,depends on selected inputs,direct composition and provenance boundary,Global Packs and all selected runtime inputs,No immutable release identity; @latest is not sufficient for reproducible CI or release composition,strong,depends on selected inputs,no,PILOT,HIGH,"Packwiz is the approved text source of truth for the pack and its official README documents TOML composition, export and installation. Pilot the metadata workflow, but open a separate reproducibility gate for the executable because the official release list is empty.",https://github.com/packwiz/packwiz;https://api.github.com/repos/packwiz/packwiz;https://api.github.com/repos/packwiz/packwiz/releases?per_page=5;https://raw.githubusercontent.com/packwiz/packwiz/main/README.md
Paxi,CU0PAyzb,pack loading,No 26.2 Fabric release. Newest observed: 26.1.2-Fabric-6.1.0 [2FGUtGfp],"26.1.1, 26.1.2",fabric,client_or_server_prefers_both,release,2026-06-24T18:31:06.820670Z,2026-06-24,Modrinth metadata updated 2026-06-24; latest source commit 2026-06-24: Update NeoForge CF project ID; recent issue records observed.,yes (public source link),LGPL-3.0-only,Redistribution is permitted under LGPL-3.0-only with notices and applicable source/relinking obligations.,YUNG's API; Fabric API; Cloth Config API; Mod Menu (optional),clear,no,"client and server, resource side client-only",partial,low,global pack selection and any loaded pack content,high,depends on loaded packs,direct loader boundary,"Global Packs, Open Loader, Simple Resource Loader","No 26.2 Fabric release observed; requires YUNG API, Fabric API and Cloth Config API in the newest observed build",good,depends on loaded packs,possible,DEFER,HIGH,"Paxi has a public source repository and a maintained 26.1.2 release, but no 26.2 release was observed. Its documented server limitation for resource packs also matters for a dual-role Matcha archive. No 26.2 Fabric release was observed, so the newest compatible record is shown without substitution.",https://api.modrinth.com/v2/project/CU0PAyzb;https://api.modrinth.com/v2/project/CU0PAyzb/version?loaders=%5B%22fabric%22%5D;https://github.com/YUNG-GANG/Paxi;https://github.com/YUNG-GANG/Paxi;https://api.github.com/repos/YUNG-GANG/Paxi;https://api.github.com/repos/YUNG-GANG/Paxi/commits?per_page=10;https://api.github.com/repos/YUNG-GANG/Paxi/issues?state=all&per_page=5
Simple Resource Loader,5e65FGXQ,pack loading,1.1.0+26.1 [O80uSS6o],26.2,fabric,client_or_server,release,2026-03-25T16:50:24.277578Z,2026-03-25,Modrinth metadata updated 2026-03-25; latest source commit 2026-03-25: Update to 26.1; recent issue records observed.,yes (public source link),LGPL-3.0-only,Redistribution is permitted under LGPL-3.0-only with notices and applicable source/relinking obligations.,None declared in selected version record,none/clear folder contract,no,client and server,yes,low,global pack selection and any loaded pack content,high,depends on loaded packs,direct loader boundary,"Global Packs, Paxi, Open Loader, Packwiz",Version label is 1.1.0+26.1 although Modrinth metadata includes 26.2; source issue notes missing datapack load-order control,good,depends on loaded packs,possible,PILOT,HIGH,"Simple Resource Loader is the strongest open 26.2 alternative found: it supports required/optional common, resourcepack and datapack folders on clients, singleplayer and dedicated servers without a config file. Its fixed folder ordering needs a Matcha load-order spike before replacing the locked Global Packs choice.",https://api.modrinth.com/v2/project/5e65FGXQ;https://api.modrinth.com/v2/project/5e65FGXQ/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Patbox/simple-resource-loader;https://github.com/Patbox/simple-resource-loader;https://api.github.com/repos/Patbox/simple-resource-loader;https://api.github.com/repos/Patbox/simple-resource-loader/commits?per_page=10;https://api.github.com/repos/Patbox/simple-resource-loader/issues?state=all&per_page=5
Just Enough Items (JEI),u6dRKJwZ,recipe viewer,30.28.0.191 [FQUVLzeD],26.2,fabric,client,beta,2026-08-28,2026-08-28,Actively released; 26.2 build is beta only as of this check,yes,MIT,MIT permits redistribution with attribution,none observed,good,yes,client-side viewer,not required,low,none,safe; client-side only,none,reads the recipe manager; no Matcha conflict expected,"Direct duplicate of REI, which is adopted. Jade lists JEI as an OPTIONAL dependency, so it can arrive transitively.",Shipping alongside REI produces two recipe viewers and doubled UI,good,adds a second viewer UI,no,REJECT,high,"LAB-01: REI is adopted as the single recipe viewer. JEI has a 26.2 release but it is BETA, and the pack does not use beta builds as core dependencies. More importantly, two viewers is the exact duplication this lab exists to prevent. Because Jade declares JEI as an optional dependency it must be excluded deliberately rather than merely left unadded.",https://api.modrinth.com/v2/project/u6dRKJwZ; https://api.modrinth.com/v2/project/u6dRKJwZ/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D
Simple Copper Pipes,9r4ZkgSN,storage/logistics,2.1.7-mc26.2 [CEH3bXSV],26.2,fabric,client_and_server,release,2026-06-18T18:12:03.853147Z,2026-06-18,Modrinth metadata updated 2026-06-18; source repository metadata returned HTTP 403; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,The Copperier Age: Copperier Copper (optional); Cloth Config API (optional); FrozenLib; Mod Menu (optional); Fabric API,limited,no,server and client,yes,high,pipe and container block entities,high,none,"moderate, local logistics overlap","Tom's Simple Storage, Storage Drawers",Open issue reports extreme item duplication; requires FrozenLib and Fabric API; throughput and crash recovery need tests,mixed,none,likely,COMPATIBILITY_SPIKE,HIGH,"Simple Copper Pipes has a stable 26.2 release and fits physical local transport, but its source issue tracker contains an explicit extreme item-duplication report. It cannot be baseline-adopted before reproduction and fix or exclusion.",https://api.modrinth.com/v2/project/9r4ZkgSN;https://api.modrinth.com/v2/project/9r4ZkgSN/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/AViewFromTheTop/SimpleCopperPipesMC;https://github.com/AViewFromTheTop/SimpleCopperPipesMC;https://api.github.com/repos/AViewFromTheTop/SimpleCopperPipesMC;https://api.github.com/repos/AViewFromTheTop/SimpleCopperPipesMC/commits?per_page=10;https://api.github.com/repos/AViewFromTheTop/SimpleCopperPipesMC/issues?state=all&per_page=5
Storage Drawers (Unofficial Port),3bqn07Ul,storage/logistics,26.2-19.1.7 [tsCab41T],26.2,fabric,client_and_server,release,2026-08-27T02:24:34.661928Z,2026-08-27,Modrinth metadata updated 2026-08-27; latest source commit 2026-08-27: Update latest release version in README; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Fabric API; Forge Config API Port (optional),limited,no,server and client,yes,medium,drawer block entities and stored inventories,very high,none,"moderate, physical storage overlap","Tom's Simple Storage, Simple Copper Pipes",Unofficial port; source issue history includes enchanted-item save problems; never remove after use without a migration plan,good,none,possible,PILOT,HIGH,"The unofficial Storage Drawers Fabric port has a stable 26.2 release, MIT licence and current source activity. Pilot it as dense physical storage, not as a remote warehouse, and retain the migration risk of an unofficial port.",https://api.modrinth.com/v2/project/3bqn07Ul;https://api.modrinth.com/v2/project/3bqn07Ul/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/chaevsfe/StorageDrawers;https://github.com/chaevsfe/StorageDrawers;https://api.github.com/repos/chaevsfe/StorageDrawers;https://api.github.com/repos/chaevsfe/StorageDrawers/commits?per_page=10;https://api.github.com/repos/chaevsfe/StorageDrawers/issues?state=all&per_page=5
Tom's Simple Storage Mod,XZNI4Cpy,storage/logistics,26.2-2.11.2-fabric [9KkiCXs5],26.2,fabric,client_and_server,release,2026-07-24T17:22:37.968696Z,2026-07-24,Modrinth metadata updated 2026-07-24; latest source commit 2026-07-24: 2.4.1; issue endpoint HTTP 403.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Trinkets (optional); EMI (optional); Roughly Enough Items (REI) (optional); Indium (optional); Cloth Config API (embedded); Just Enough Items (JEI) (optional); Polymorph (optional),documented,partial,server and client,yes,high,"world storage networks, connectors and inventories",very high,none,"high, storage and logistics overlap","Simple Copper Pipes, Storage Drawers, future warehouse service",Wireless terminal may violate the no-magical-universal-warehouse posture; Modrinth page calls for Indium with Sodium; many optional recipe-viewer integrations,good,low,likely,COMPATIBILITY_SPIKE,HIGH,"Tom's Simple Storage has a stable 26.2 release and a mature feature set, but its wireless terminal and connector network overlap directly with the project's dimension-scoped warehouse and physical-shipment rules.",https://api.modrinth.com/v2/project/XZNI4Cpy;https://api.modrinth.com/v2/project/XZNI4Cpy/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/tom5454/Toms-Storage;https://github.com/tom5454/Toms-Storage;https://api.github.com/repos/tom5454/Toms-Storage;https://api.github.com/repos/tom5454/Toms-Storage/commits?per_page=10;https://api.github.com/repos/tom5454/Toms-Storage/issues?state=all&per_page=5
Better Boat Movement,wTfH1dkt,transportation,3.0.0-26.1+fabric [jIZZSSJA],26.2,fabric,client_and_server,release,2026-08-23T19:29:33.350679Z,2026-08-23,Modrinth metadata updated 2026-08-23; source repository metadata returned HTTP 403; recent issue records observed.,yes (public source link),GPL-3.0-only,Redistribution is permitted under GPL-3.0-only with notices and corresponding-source obligations as applicable.,Fabric API; Fabric Language Kotlin; YetAnotherConfigLib (YACL); Mod Menu (optional),clear,no,server and client,yes,medium/high,"configuration only, plus vanilla boat state",low/medium,none,low,"Move Boats, High-Speed Rail","Requires Fabric Language Kotlin, YACL and Fabric API; dependency conflicts with the Java-only project baseline are a pack cost; version label says 26.1 while metadata includes 26.2",good,none,possible,COMPATIBILITY_SPIKE,HIGH,"Better Boat Movement has a 26.2-compatible release and server validation claims, but it requires Fabric Language Kotlin and changes boat physics. The extra runtime and overlap with Move Boats require a focused spike.",https://api.modrinth.com/v2/project/wTfH1dkt;https://api.modrinth.com/v2/project/wTfH1dkt/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/btwonion/better-boat-movement;https://github.com/btwonion/better-boat-movement;https://api.github.com/repos/btwonion/better-boat-movement;https://api.github.com/repos/btwonion/better-boat-movement/commits?per_page=10;https://api.github.com/repos/btwonion/better-boat-movement/issues?state=all&per_page=5
Elytra Revamped,Gfg08owl,transportation,1.0.3 [aq9olpVF],26.2,fabric,server_only_client_optional,release,2026-07-21T20:43:48.662378Z,2026-08-28,Modrinth metadata updated 2026-07-21; latest source commit 2026-08-28: Change license from Creative Commons to MIT; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Fabric API; YetAnotherConfigLib (YACL) (optional); Mod Menu (optional),clear,no,server with optional client,yes,high,configuration and flight/equipment behaviour,medium,none,"high, direct flight-balance overlap","High-Speed Rail, Horseman, Icy's Better Horses","Must preserve useful scouting and vertical traversal; source recently changed the licence from Creative Commons to MIT, so notices need recheck",good,none,likely,PILOT,HIGH,"Elytra Revamped has a stable 26.2 server-capable release and directly supports the accepted glider direction, but it changes rocket, drag, boost and bounce behaviour. Pilot against rail, horse and Matcha travel before inclusion.",https://api.modrinth.com/v2/project/Gfg08owl;https://api.modrinth.com/v2/project/Gfg08owl/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/NiuhiPlays/ElytraRevamped_ReReWritten;https://github.com/NiuhiPlays/ElytraRevamped_ReReWritten;https://api.github.com/repos/NiuhiPlays/ElytraRevamped_ReReWritten;https://api.github.com/repos/NiuhiPlays/ElytraRevamped_ReReWritten/commits?per_page=10;https://api.github.com/repos/NiuhiPlays/ElytraRevamped_ReReWritten/issues?state=all&per_page=5;https://opensource.org/license/mit-0
High-Speed Rail,d7PCSOkD,transportation,0.24.0+26.2 [UnL9JxtC],26.2,fabric,server_only,release,2026-07-09T16:12:56.940043Z,2026-07-09,Modrinth metadata updated 2026-07-09; latest source commit 2026-07-09: Prepare for next version 0.24.1+26.2-prerelease; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Fabric API,detailed,no,server-side,yes,very high,configuration and vanilla rail/minecart state,medium/high,none,"moderate, transport balance overlap","Elytra Revamped, other rail physics","Supports speeds beyond 1000 blocks per second; test crashes, unloaded destinations and route registration rather than assuming fast rails are a service",good,none,likely,COMPATIBILITY_SPIKE,HIGH,"High-Speed Rail is a stable 26.2 server-side rail physics candidate with active source work. Its deliberately extreme speeds make route validation, dimension rules, collision safety and service balance mandatory before adoption.",https://api.modrinth.com/v2/project/d7PCSOkD;https://api.modrinth.com/v2/project/d7PCSOkD/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/pcal43/highspeed-rail;https://github.com/pcal43/highspeed-rail;https://api.github.com/repos/pcal43/highspeed-rail;https://api.github.com/repos/pcal43/highspeed-rail/commits?per_page=10;https://api.github.com/repos/pcal43/highspeed-rail/issues?state=all&per_page=5
Horseman,qIv5FhAA,transportation,1.7.5 [xU6ysEWF],26.2,fabric,client_and_server,release,2026-08-25T23:13:26.290830Z,2026-08-25,Modrinth metadata updated 2026-08-25; latest source commit 2026-08-25: 1.5.13; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Fabric API; Forge Config API Port,documented,no,server and client,yes,medium,"horse entity, ownership and player configuration",very high,none,"moderate, transport and mount progression overlap",Icy's Better Horses,Requires Fabric API and Forge Config API Port; horse summoning may resemble teleport service and needs explicit route-boundary review,good,low,possible,PILOT,HIGH,"Horseman has a current stable 26.2 release, active source maintenance and practical horse handling improvements. Pilot its summon/roster features so convenience does not bypass the earned-route and geography decisions.",https://api.modrinth.com/v2/project/qIv5FhAA;https://api.modrinth.com/v2/project/qIv5FhAA/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/mortuusars/Horseman;https://github.com/mortuusars/Horseman;https://api.github.com/repos/mortuusars/Horseman;https://api.github.com/repos/mortuusars/Horseman/commits?per_page=10;https://api.github.com/repos/mortuusars/Horseman/issues?state=all&per_page=5
Icy's Better Horses,XlUm5I57,transportation,1.2.0 [41Q9OmbL],26.2,fabric,client_and_server,release,2026-08-09T21:07:03.378760Z,2026-08-28,Modrinth metadata updated 2026-08-09; source repository push 2026-08-28; recent issue records observed.,yes (public source link),MIT,Redistribution is generally permitted with the upstream copyright and licence notice retained.,Geckolib; Modonomicon; Cloth Config API (optional); Mod Menu (optional),documented,no,server and client,yes,high,"horse entities, player ownership and progression state",very high,low,"moderate, mount progression and transport overlap","Horseman, Naturalist, Modonomicon",Requires Geckolib and Modonomicon; custom UI and breed data need save migration and removal tests; do not combine with Horseman initially,strong,moderate,likely,COMPATIBILITY_SPIKE,HIGH,"Icy's Better Horses is a current 26.2 release with a broad horse progression, genetics, tack, carts and roster feature set. Its persistent scope and required Modonomicon make it a framework spike rather than a default horse QoL mod.",https://api.modrinth.com/v2/project/XlUm5I57;https://api.modrinth.com/v2/project/XlUm5I57/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Icywhenhot/Icy-s-Better-Horses;https://github.com/Icywhenhot/Icy-s-Better-Horses;https://api.github.com/repos/Icywhenhot/Icy-s-Better-Horses;https://api.github.com/repos/Icywhenhot/Icy-s-Better-Horses/commits?per_page=10;https://api.github.com/repos/Icywhenhot/Icy-s-Better-Horses/issues?state=all&per_page=5
Move Boats,7qPEjpyt,transportation,26.2.0-3.7-fabric+forge+neo [P4qWMK4p],26.2,fabric,server_only,release,2026-08-23T14:52:52.991693Z,2026-08-23,Modrinth metadata updated 2026-08-23; source repository push 2026-08-23.,yes (public source link),LicenseRef-All-Rights-Reserved (All rights reserved),All rights reserved; private development is not a redistribution grant. Obtain permission or replace before release.,Collective,limited,no,server-side,yes,low,none beyond vanilla boat state,low,none,none identified,Better Boat Movement,"All-Rights-Reserved; requires Collective; verify moving, breaking, chunk unload and multiplayer ownership edge cases",good,none,no,PILOT,HIGH,"Move Boats has a stable 26.2 server release and a narrow convenience purpose that preserves physical boats. Pilot it as the low-surface alternative to physics-changing boat mods, subject to its All-Rights-Reserved licence.",https://api.modrinth.com/v2/project/7qPEjpyt;https://api.modrinth.com/v2/project/7qPEjpyt/version?game_versions=%5B%2226.2%22%5D&loaders=%5B%22fabric%22%5D;https://github.com/Serilum/Move-Boats;https://github.com/Serilum/Move-Boats;https://api.github.com/repos/Serilum/Move-Boats;https://api.github.com/repos/Serilum/Move-Boats/commits?per_page=10;https://api.github.com/repos/Serilum/Move-Boats/issues?state=all&per_page=5
